route,cohort,profile,selected_for_route,known_truth_functions,known_truth_recovered,known_truth_recovery_pct,known_truth_hashable,known_truth_hashable_pct,known_truth_gained_vs_default,known_truth_lost_vs_default,known_hashable_gained_vs_default,known_hashable_lost_vs_default,wrong_library_results,wrong_library_change_vs_default,confirmation_reference_starts,confirmation_starts_recovered,confirmation_recovery_pct,confirmation_starts_gained_vs_default,confirmation_starts_lost_vs_default,all_candidate_starts,candidate_starts_added_vs_default,added_starts_confirmed_by_reference,added_start_reference_confirmation_pct,macro_known_truth_recovery_pct,macro_confirmation_recovery_pct,wall_seconds
macos-arm64,training,default,True,2233,1983,88.8043,1599,71.6077,0,0,0,0,0,0,2997,2621,87.4541,0,0,2621,0,0,,85.4329,74.0073,32.81
macos-arm64,validation,default,True,588,463,78.7415,396,67.3469,0,0,0,0,0,0,625,498,79.68,0,0,499,0,0,,78.0603,79.1916,32.81
macos-arm64,all,default,True,2821,2446,86.7068,1995,70.7196,0,0,0,0,0,0,3622,3119,86.1126,0,0,3120,0,0,,82.9754,75.7354,32.81
macos-arm64,training,maximal-built-in,False,2233,1983,88.8043,1599,71.6077,0,0,0,0,0,0,2997,2621,87.4541,0,0,2621,0,0,,85.4329,74.0073,34.691
macos-arm64,validation,maximal-built-in,False,588,463,78.7415,396,67.3469,0,0,0,0,0,0,625,498,79.68,0,0,499,0,0,,78.0603,79.1916,34.691
macos-arm64,all,maximal-built-in,False,2821,2446,86.7068,1995,70.7196,0,0,0,0,0,0,3622,3119,86.1126,0,0,3120,0,0,,82.9754,75.7354,34.691
macos-arm64,training,shared-return-permissive,False,2233,1983,88.8043,1599,71.6077,0,0,0,0,0,0,2997,2621,87.4541,0,0,2621,0,0,,85.4329,74.0073,34.408
macos-arm64,validation,shared-return-permissive,False,588,463,78.7415,396,67.3469,0,0,0,0,0,0,625,498,79.68,0,0,499,0,0,,78.0603,79.1916,34.408
macos-arm64,all,shared-return-permissive,False,2821,2446,86.7068,1995,70.7196,0,0,0,0,0,0,3622,3119,86.1126,0,0,3120,0,0,,82.9754,75.7354,34.408
macos-arm64,training,call-target-recovery,False,2233,1983,88.8043,1599,71.6077,0,0,0,0,0,0,2997,2621,87.4541,0,0,2621,0,0,,85.4329,74.0073,33.983
macos-arm64,validation,call-target-recovery,False,588,463,78.7415,396,67.3469,0,0,0,0,0,0,625,498,79.68,0,0,499,0,0,,78.0603,79.1916,33.983
