route,treatment,factor,comparison,hash_truth_pairs,discovery_retained_n,discovery_retained_rate,comparable_pairs,full_hash_same_n,full_hash_same_rate,specific_hash_same_n,specific_hash_same_rate,fid_truth_functions,baseline_fid_correct_n,baseline_fid_correct_rate,expanded_fid_correct_n,expanded_fid_correct_rate,ambiguous_n,wrong_library_n,expansion_tested,matrix_action
macOS ARM64,address_sanitizer,AddressSanitizer,off to on,14871,2260,0.15197363997041222,1878,136,0.0724174653887114,76,0.04046858359957402,14783,55,0.003720489751741866,1523,0.10302374348914294,12,1,True,Do not admit unguarded; wrong label observed
macOS ARM64,analysis_repeat,Analysis repeat,"same bytes, fresh Ghidra project",5642,4892,0.8670684154555123,3990,3990,1.0,3990,1.0,5898,3010,0.510342488979315,3192,0.5412004069175992,0,0,True,Control: lock the analysis settings
macOS ARM64,compiler_clang_22,Compiler version,Apple Clang 21 to Clang 22,2849,2265,0.795015795015795,1883,1552,0.8242166755177908,862,0.45778013807753587,2743,1166,0.4250820269777616,1496,0.5453882610280715,0,0,True,Add compiler-version candidate
macOS ARM64,dead_strip,Dead-code elimination,linker dead strip off to on,2821,0,0.0,0,0,,0,,0,0,,0,,0,0,True,Redesign truth; no attributable pair
macOS ARM64,debug_off,Debug information,-g to -g0,2821,2446,0.8670684154555123,1994,1993,0.9994984954864594,1984,0.9949849548645938,2949,1504,0.5100033909799933,1596,0.5412004069175992,0,0,True,No extra reference on this route
macOS ARM64,identical_rebuild,Build repeat,same inputs and flags,5642,4892,0.8670684154555123,3990,3990,1.0,3990,1.0,5898,3010,0.510342488979315,3192,0.5412004069175992,0,0,True,Control: no extra reference
macOS ARM64,lto,Link-time optimisation,off to on,2821,0,0.0,0,0,,0,,0,0,,0,,0,0,True,Redesign truth; no attributable pair
macOS ARM64,omit_frame_pointer,Frame pointer,kept to omitted,4305,2446,0.5681765389082463,1995,632,0.3167919799498747,503,0.2521303258145363,4433,253,0.05707196029776675,1501,0.33859688698398377,0,0,True,Add frame-pointer candidate
macOS ARM64,optimisation_o0,Optimisation,O2 to O0,3656,2265,0.6195295404814004,1883,119,0.06319702602230483,119,0.06319702602230483,3400,98,0.028823529411764706,2653,0.7802941176470588,0,0,True,Add optimisation candidate
macOS ARM64,optimisation_o1,Optimisation,O2 to O1,2887,2437,0.8441288534811223,1980,1068,0.5393939393939394,610,0.30808080808080807,2831,733,0.25891910985517486,1576,0.5566937477922995,0,0,True,Add optimisation candidate
